Dataset,BOOSTING Jaccard,BOOSTING FPS,BOOSTING kbps,KCF Jaccard,KCF FPS,KCF kbps,MEDIANFLOW Jaccard,MEDIANFLOW FPS,MEDIANFLOW kbps,MIL Jaccard,MIL FPS,MIL kbps,TLD Jaccard,TLD FPS,TLD kbps,Attributes
Crowds,0.6165229013,5.3255415018,103.8942344995,0.1020386359,20.2387103239,394.8303314627,0.0849599397,11.5916326771,226.1373426892,0.7355885219,1.1584948604,22.6006945317,0.0849599397,2.8517636914,55.6341182568,"IV ,DEF ,BC"
Dancer2,0.7784609058,3.0926798737,40.7860131,0.7767832062,4.3391317432,57.2241199695,0.7561529567,25.1500945829,331.6774218486,0.763617372,1.1292231344,14.8921037526,0.5179312799,1.1562914626,15.249078684,DEF
Vase,0.2895482503,4.6369079567,31.027636885,0.2907157879,11.4897194347,76.8828809758,0.4860000575,26.3779073553,176.5064432697,0.2837247102,1.1281281673,7.5488130154,0.281043547,2.031836537,13.5959322179,"SV ,FM ,IPR"
FaceOcc1,0.7401016248,2.220542073,5.9280988377,0.7590342668,5.4955820152,14.6713515371,0.7589811354,22.1845821043,59.2253562694,0.6581794373,1.1537471275,3.080115927,0.6302742994,0.5917700973,1.5798266866,OCC
FaceOcc2,0.5718762257,2.575643702,5.7165951461,0.7212546727,9.3519751216,20.7565415769,0.3766534895,26.1173575572,57.9670081417,0.6444639494,1.154460755,2.5623050049,0.2141171745,0.5459166124,1.2116521608,"IV ,OCC ,IPR ,OPR"
Jumping,0.0846419561,5.7167890606,43.5355474616,0.1194071451,20.3873238677,155.2573125312,0.3177799047,22.8328045929,173.8805888229,0.2667772228,1.1689577164,8.9020626094,0.6551669753,0.6182288779,4.7080506858,"MB ,FM"
Bird2,0.6142642898,2.8393577164,195.5680059782,0.8221145448,4.5328804277,312.2137029253,0.1046087772,10.6655046345,734.6138396241,0.4458443108,1.2251392064,84.3845881988,0.3525645069,1.0980395848,75.6302775228,"OCC ,DEF ,FM ,IPR ,OPR"
Bird1,0.0177289772,5.1799184869,85.9077390337,0.02024839,16.9564645896,281.2190073219,0,11.1581186842,185.054793902,0.1830893806,1.1704494976,19.4116317172,0.0280666428,1.266921661,21.0116000281,"DEF ,FM ,OV"
Box,0.1129552372,2.0145248318,12.5147357972,0.0428658622,6.4347801745,39.9744756311,0.1560644488,10.2826780959,63.8785869634,0.2115740875,1.1254498875,6.9915782488,0.0848666392,0.6562179262,4.0765910862,"IV ,SV ,OCC ,MB ,IPR ,OPR ,OV ,BC ,LR"
Boy,0.5651837548,5.0685761058,60.7217104193,0.6113236913,17.0653217641,204.4431226313,0.3757785982,10.2791008486,123.1439702324,0.5644217928,1.1723504277,14.0447971367,0.654458918,0.5468299879,6.5510414523,"SV ,MB ,FM ,IPR ,OPR"
